LTC/FID Approvals and Denials,,LTC/FID Approvals and Denials 2015 through 04/30/2017,,,,,,,,,,,
2015,,2016,,01/01/2017 - 04/30/2017,,,2015,2016,01/01/17 - 04/30/17,2015 to 4/30/17,,,
January,,January,,January,,LTC - Approved,"1,242","1,972",579,"3,793",,,
LTC,,LTC,,LTC,,LTC - Denied,55,142,92,289,,,
Approved,98,,Approved,185,,Approved,174,,FID - Approved,70,110,49,229
Denied,9,,Denied,16,,Denied,21,,FID - Denied,5,6,0,11
FID,,FID,,FID,,,,,,,,,
Approved,5,,Approved,6,,Approved,14,,Total Approved,"1,312","2,082",628,"4,022"
Denied,4,,Denied,1,,Denied,0,,Total Denied,60,148,92,300
Feburary,,Feburary,,Feburary,,Total Applicants,"1,372","2,230",720,"4,322",,,
LTC,,LTC,,LTC,,,,,,,,,
Approved,55,,Approved,161,,Approved,115,,,,,,
Denied,1,,Denied,7,,Denied,21,,,,,,
FID,,FID,,FID,,,,,,,,,
Approved,6,,Approved,7,,Approved,17,,,,,,
Denied,0,,Denied,0,,Denied,0,,,,,,
March,,March,,March,,,,,,,,,
LTC,,LTC,,LTC,,,,,,,,,
Approved,121,,Approved,140,,Approved,171,,,,,,
Denied,6,,Denied,15,,Denied,32,,,,,,
FID,,FID,,FID,,,,,,,,,
Approved,1,,Approved,3,,Approved,9,,,,,,
Denied,0,,Denied,0,,Denied,0,,,,,,
April,,April,,April,,,,,,,,,
LTC,,LTC,,LTC,,,,,,,,,
Approved,98,,Approved,130,,Approved,118,,,,,,
Denied,12,,Denied,5,,Denied,18,,,,,,
FID,,FID,,FID,,,,,,,,,
Approved,8,,Approved,4,,Approved,9,,,,,,
Denied,0,,Denied,0,,Denied,0,,,,,,
May,,May,,May,,,,,,,,,
LTC,,LTC,,LTC,,,,,,,,,
Approved,93,,Approved,156,,Approved,,,,,,,
Denied,4,,Denied,14,,Denied,,,,,,,
FID,,FID,,FID,,,,,,,,,
Approved,6,,Approved,6,,Approved,,,,,,,
Denied,1,,Denied,0,,Denied,,,,,,,
June,,June,,June,,,,,,,,,
LTC,,LTC,,LTC,,,,,,,,,
Approved,108,,Approved,196,,Approved,,,,,,,
FID,,FID,,FID,,,,,,,,,
Approved,9,,Approved,9,,Approved,,,,,,,
Denied,1,,Denied,0,,Denied,,,,,,,
July,,July,,July,,,,,,,,,
LTC,,LTC,,LTC,,,,,,,,,
Approved,128,,Approved,182,,Approved,,,,,,,
Denied,0,,Denied,23,,Denied,,,,,,,
FID,,FID,,FID,,,,,,,,,
Approved,5,,Approved,10,,Approved,,,,,,,
Denied,0,,Denied,3,,Denied,,,,,,,
August,,August,,August,,,,,,,,,
LTC,,LTC,,LTC,,,,,,,,,
Approved,108,,Approved,188,,Approved,,,,,,,
Denied,2,,Denied,10,,Denied,,,,,,,
FID,,FID,,FID,,,,,,,,,
Approved,9,,Approved,8,,Approved,,,,,,,
Denied,2,,Denied,0,,Denied,,,,,,,
September,,September,,September,,,,,,,,,
LTC,,LTC,,LTC,,,,,,,,,
Approved,95,,Approved,161,,Approved,,,,,,,
Denied,5,,Denied,19,,Denied,,,,,,,
FID,,,FID,,FID,,,,,,,,
Approved,7,,Approved,13,,Approved,,,,,,,
Denied,0,,Denied,0,,Denied,,,,,,,
October,,October,,October,,,,,,,,,
LTC,,LTC,,LTC,,,,,,,,,
Approved,105,,Approved,183,,Approved,,,,,,,
Denied,8,,Denied,12,,Denied,,,,,,,
FID,,FID,,FID,,,,,,,,,
Approved,3,,Approved,16,,Approved,,,,,,,
Denied,0,,Denied,0,,Denied,,,,,,,
November,,November,,November,,,,,,,,,
LTC,,LTC,,LTC,,,,,,,,,
Approved,102,,Approved,161,,Approved,,,,,,,
Denied,2,,Denied,11,,Denied,,,,,,,
FID,,,FID,,FID,,,,,,,,
Approved,5,,Approved,13,,Approved,,,,,,,
Denied,0,,Denied,1,,Denied,,,,,,,
December,,December,,December,,,,,,,,,
LTC,,LTC,,LTC,,,,,,,,,
Denied,7,,Denied,2,,Denied,,,,,,,
FID,,FID,,FID,,,,,,,,,
Approved,6,,Approved,15,,Approved,,,,,,,
